Player,2018/19,,,,,
Andrew Nicholson ,"$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ",$0 
Justin Jackson ,"$2,807,880 ","$3,280,920 ","$5,029,650 ","$7,031,451 ",$0 ,$0 
Seth Curry ,"$2,795,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Cedi Osman ,"$2,775,000 ","$2,907,143 ",$0 ,$0 ,$0 ,$0 
Sam Dekker ,"$2,760,094 ","$3,916,574 ",$0 ,$0 ,$0 ,$0 
Troy Brown ,"$2,752,680 ","$3,223,680 ","$3,377,160 ","$5,177,186 ","$7,237,706 ",$0 
Guerschon Yabusele ,"$2,667,600 ","$3,117,240 ","$4,781,846 ","$6,718,494 ",$0 ,$0 
Justin Patton ,"$2,667,600 ",$0 ,$0 ,$0 ,$0 ,$0 
Domantas Sabonis ,"$2,659,800 ","$3,529,554 ","$4,831,960 ",$0 ,$0 ,$0 
Jerian Grant ,"$2,639,313 ","$3,763,661 ",$0 ,$0 ,$0 ,$0 
Zhaire Smith ,"$2,615,160 ","$3,062,760 ","$3,208,680 ","$4,922,115 ","$6,915,571 ",$0 
Delon Wright ,"$2,536,898 ","$3,635,375 ",$0 ,$0 ,$0 ,$0 
DJ Wilson ,"$2,534,280 ","$2,961,120 ","$4,548,280 ","$6,422,172 ",$0 ,$0 
Taurean Prince ,"$2,526,840 ","$3,481,985 ","$4,791,212 ",$0 ,$0 ,$0 
Dario Saric ,"$2,526,840 ","$3,481,985 ","$4,791,212 ",$0 ,$0 ,$0 
Justin Anderson ,"$2,516,047 ","$3,625,625 ",$0 ,$0 ,$0 ,$0 
Shelvin Mack ,"$2,512,601 ",$0 ,$0 ,$0 ,$0 ,$0 
Reggie Bullock ,"$2,500,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Manu Ginobili ,"$2,500,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Bobby Portis ,"$2,494,346 ","$3,611,813 ",$0 ,$0 ,$0 ,$0 
Dante Cunningham ,"$2,487,000 ",$0 ,$0 ,$0 ,$0 ,$0 
Donte DiVincenzo ,"$2,484,360 ","$2,909,640 ","$3,048,000 ","$4,681,728 ","$6,610,599 ",$0 
Rondae Hollis-Jefferson ,"$2,470,356 ","$3,594,369 ",$0 ,$0 ,$0 ,$0 
Tyus Jones ,"$2,444,052 ","$3,573,204 ",$0 ,$0 ,$0 ,$0 
Jarell Martin ,"$2,416,221 ",$0 ,$0 ,$0 ,$0 ,$0 
