Player,2016/17,,,
Rodney Hood ,"$1,470,543 ",$0 ,$0 ,$0 
Bobby Portis ,"$1,468,536 ","$1,943,500 ",$0 ,$0 
Michael Beasley ,"$1,467,502 ","$1,845,000 ",$0 ,$0 
Marreese Speights ,"$1,467,502 ","$5,282,711 ",$0 ,$0 
JaVale McGee ,"$1,467,502 ","$5,277,669 ",$0 ,$0 
Rondae Hollis-Jefferson ,"$1,459,126 ","$5,274,427 ",$0 ,$0 
Willy Hernangomez ,"$1,437,589 ",$0 ,$0 ,$0 
Deyonta Davis ,"$1,431,555 ","$3,666,521 ","$5,437,451 ",$0 
Nikola Jokic ,"$1,420,338 ",,$0 ,$0 
Shabazz Napier ,"$1,411,576 ",$0 ,$0 ,$0 
Tyus Jones ,"$1,400,661 ","$5,236,738 ",$0 ,$0 
Sasha Kaun ,"$1,394,116 ","$3,646,027 ","$5,432,581 ",$0 
Timothe Luwawu ,"$1,387,362 ",$0 ,$0 ,$0 
Marcus Thornton ,"$1,375,326 ",$0 ,$0 ,$0 
Ty Lawson ,"$1,375,326 ","$3,619,386 ","$5,429,079 ",$0 
Alan Anderson ,"$1,375,326 ",$0 ,$0 ,$0 
Clint Capela ,"$1,355,244 ","$3,593,610 ","$5,390,415 ",$0 
Jarell Martin ,"$1,344,705 ",$0 ,$0 ,$0 
Brice Johnson ,"$1,331,908 ",$0 ,$0 ,$0 
Luke Babbitt ,"$1,283,151 ",$0 ,$0 ,$0 
Jeremy Evans ,"$1,283,151 ",$0 ,$0 ,$0 
Jordan Mickey ,"$1,279,352 ",$0 ,$0 ,$0 
CJ Wilcox ,"$1,264,660 ",$0 ,$0 ,$0 
Larry Nance Jr ,"$1,262,652 ",$0 ,$0 ,$0 
Terrence Jones ,"$163,344 ",$0 ,$0 ,$0 
Pascal Siakam ,"$1,250,483 ",$0 ,$0 ,$0 
Kyle Anderson ,"$1,246,342 ",$0 ,$0 ,$0 
Chris McCullough ,"$1,245,715 ",$0 ,$0 ,$0 
Josh Huestis ,"$1,245,715 ",$0 ,$0 ,$0 
Livio Jean-Charles ,"$1,242,955 ",$0 ,$0 ,$0 
Skal Labissiere ,"$1,242,955 ",$0 ,$0 ,$0 
Kevon Looney ,"$1,236,682 ",$0 ,$0 ,$0 
Dejounte Murray ,"$1,233,796 ",$0 ,$0 ,$0 
Damian Jones ,"$1,224,888 ",$0 ,$0 ,$0 
Hollis Thompson ,"$120,594 ",$0 ,$0 ,$0 
Isaiah Whitehead ,"$1,123,039 ",$0 ,$0 ,$0 
Rakeem Christmas ,"$1,100,243 ",$0 ,$0 ,$0 
Joseph Young ,"$1,100,243 ",$0 ,$0 ,$0 
John Jenkins ,"$1,098,800 ",$0 ,$0 ,$0 
Thomas Robinson ,"$1,098,800 ",$0 ,$0 ,$0 
Pablo Prigioni ,"$1,098,800 ",$0 ,$0 ,$0 
Brian Roberts ,"$1,098,800 ",$0 ,$0 ,$0 
Glenn Robinson III ,"$1,098,318 ",$0 ,$0 ,$0 
Montrezl Harrell ,"$1,092,567 ",$0 ,$0 ,$0 
Ivica Zubac ,"$1,081,971 ",$0 ,$0 ,$0 
Richaun Holmes ,"$1,070,611 ",$0 ,$0 ,$0 
Anthony Brown ,"$914,448 ","$1,802,057 ",$0 ,$0 
Jeff Withey ,"$1,061,929 ",$0 ,$0 ,$0 
Robert Covington ,"$1,061,929 ",$0 ,$0 ,$0 
Justin Holiday ,"$1,061,929 ",$0 ,$0 ,$0 
Ian Clark ,"$1,061,929 ",$0 ,$0 ,$0 
Isaiah Canaan ,"$1,061,929 ",$0 ,$0 ,$0 
Anthony Bennett ,"$1,061,929 ",$0 ,$0 ,$0 
Mike Muscala ,"$1,061,929 ",$0 ,$0 ,$0 
DeAndre Liggins ,"$1,036,943 ",$0 ,$0 ,$0 
Walter Tavares ,"$1,045,519 ",$0 ,$0 ,$0 
Damjan Rudez ,"$1,025,059 ",$0 ,$0 ,$0 
Jerami Grant ,"$1,025,059 ",$0 ,$0 ,$0 
Louis Amundson ,"$1,025,059 ",$0 ,$0 ,$0 
JaMychal Green ,"$1,025,059 ",$0 ,$0 ,$0 
James Michael McAdoo ,"$1,025,059 ",$0 ,$0 ,$0 
Beno Udrih ,"$1,025,059 ",$0 ,$0 ,$0 
Nick Johnson ,"$1,025,059 ",$0 ,$0 ,$0 
Sean Kilpatrick ,"$1,025,059 ",$0 ,$0 ,$0 
Joe Harris ,"$1,025,059 ",$0 ,$0 ,$0 
Elton Brand ,"$1,024,609 ",$0 ,$0 ,$0 
Axel Toupane ,"$914,448 ",$0 ,$0 ,$0 
Stephen Zimmerman ,"$993,243 ",$0 ,$0 ,$0 
Andrew Harrison ,"$988,015 ",$0 ,$0 ,$0 
Bobby Brown ,"$982,861 ",$0 ,$0 ,$0 
Tyler Ulis ,"$960,172 ",$0 ,$0 ,$0 
Jason Thompson ,"$933,997 ",$0 ,$0 ,$0 
Raul Neto ,"$917,756 ",$0 ,$0 ,$0 
Malcolm Brogdon ,"$914,829 ",$0 ,$0 ,$0 
Norman Powell ,"$914,448 ",$0 ,$0 ,$0 
Jonathon Simmons ,"$914,448 ",$0 ,$0 ,$0 
Pat Connaughton ,"$914,448 ",$0 ,$0 ,$0 
Alan Williams ,"$914,448 ",$0 ,$0 ,$0 
TJ McConnell ,"$914,448 ","$1,802,057 ",$0 ,$0 
Josh Richardson ,"$914,448 ","$1,802,057 ",$0 ,$0 
Darrun Hilliard ,"$914,448 ",$0 ,$0 ,$0 
Salah Mejri ,"$914,448 ",$0 ,$0 ,$0 
Jordan McRae ,"$914,448 ",$0 ,$0 ,$0 
Cristiano Felicio ,"$914,448 ",$0 ,$0 ,$0 
Christian Wood ,"$914,448 ",$0 ,$0 ,$0 
Paul Zipser ,"$784,139 ",$0 ,$0 ,$0 
Spencer Dinwiddie ,"$759,749 ",$0 ,$0 ,$0 
Ryan Kelly ,"$745,774 ",$0 ,$0 ,$0 
Jonathan Gibson ,"$701,905 ",$0 ,$0 ,$0 
Joel Anthony ,"$694,026 ",$0 ,$0 ,$0 
Troy Williams ,"$113,641 ",$0 ,$0 ,$0 
Georges Niang ,"$679,587 ",$0 ,$0 ,$0 
Michael Gbinije ,"$679,587 ",$0 ,$0 ,$0 
AJ Hammons ,"$679,587 ",$0 ,$0 ,$0 
Briante Weber ,"$242,059 ",$0 ,$0 ,$0 
Donatas Motiejunas ,"$635,143 ",$0 ,$0 ,$0 
Joel Bolomboy ,"$627,311 ",$0 ,$0 ,$0 
Jake Layman ,"$627,311 ",$0 ,$0 ,$0 
John Lucas ,"$606,760 ",$0 ,$0 ,$0 
Gary Payton II ,"$568,209 ",$0 ,$0 ,$0 
Toney Douglas ,"$590,580 ",$0 ,$0 ,$0 
Danuel House ,"$568,209 ",$0 ,$0 ,$0 
Sheldon Mac ,"$568,209 ",$0 ,$0 ,$0 
Daniel Ochefu ,"$568,209 ",$0 ,$0 ,$0 
Fred VanVleet ,"$568,209 ",$0 ,$0 ,$0 
Bryn Forbes ,"$568,209 ",$0 ,$0 ,$0 
Davis Bertans ,"$568,209 ",$0 ,$0 ,$0 
Tim Quarterman ,"$568,209 ",$0 ,$0 ,$0 
Derrick Jones ,"$568,209 ",$0 ,$0 ,$0 
Semaj Christon ,"$568,209 ",$0 ,$0 ,$0 
